File,Iterations,BeesNumber,Limit,Operator,MaxTime,TotalCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,GTR,ExecutionTime
C201.txt,100,75,40,1,600,0,11628,3883,354,2400,18265,0;74;32;97;31;37;38;0;22;0;0;5;0;86;23;46;73;76;70;17;10;0;0;62;0;40;26;85;44;50;0;2;63;72;1;92;34;3;49;98;36;58;60;88;84;0;0;24;61;99;69;33;54;7;83;0;0;57;59;15;16;8;41;21;0;91;18;19;71;51;80;9;81;48;0;0;20;30;27;67;64;6;100;94;35;95;4;89;39;0;28;12;79;47;42;96;90;0;56;82;14;45;52;25;13;43;11;78;77;87;0;0;93;29;75;68;55;65;53;0;66;0,N/A
C202.txt,100,75,40,1,600,0,5138,3784,8,2600,11530,0;3;2;64;0;63;75;0;91;27;29;0;0;71;40;46;85;70;43;80;78;10;41;87;77;0;0;83;95;30;0;84;86;44;72;51;25;47;73;79;21;90;0;98;93;94;61;97;35;39;65;49;53;36;0;12;7;0;60;34;45;0;0;57;19;26;14;81;13;42;11;9;8;0;20;52;74;99;6;66;32;50;55;82;4;89;88;28;0;48;16;17;0;67;37;22;5;31;33;69;68;92;38;54;56;58;0;0;96;59;100;1;0;0;24;62;0;23;18;76;15;0,N/A
C203.txt,100,75,40,1,600,0,2145,3428,0,2400,7973,0;5;96;51;92;0;93;1;75;0;94;0;43;7;6;32;26;0;0;60;37;27;30;0;84;82;83;71;76;19;80;42;11;78;0;67;62;74;89;99;100;2;65;50;31;38;39;36;56;0;18;34;64;54;61;29;0;28;47;14;15;25;41;0;88;0;91;22;24;52;48;59;33;68;35;53;55;57;0;40;44;97;95;17;10;8;87;0;63;98;3;12;81;69;66;21;49;46;4;58;23;0;86;85;16;45;70;9;13;79;73;77;0;0;0;0;0;0;20;72;90;0,N/A
C204.txt,100,75,40,1,600,0,681,3126,0,2100,5907,0;0;82;50;43;69;51;96;53;0;21;17;36;29;99;27;18;19;88;38;33;32;34;0;71;94;78;72;61;0;30;75;89;20;15;0;0;45;47;62;86;95;100;92;22;2;98;85;4;58;52;0;0;23;91;54;44;81;83;73;79;97;93;48;87;0;0;0;3;0;5;12;37;0;84;66;59;13;31;0;0;7;80;76;56;49;77;0;67;64;41;39;26;28;60;57;42;46;55;40;68;0;35;1;14;24;16;6;25;9;11;10;8;0;0;90;70;74;65;63;0;0,N/A
C205.txt,100,75,40,1,600,0,1751,3809,32,2200,7792,0;0;62;14;95;81;29;4;0;48;47;43;99;12;85;83;73;78;80;91;53;58;84;0;21;30;2;17;0;67;42;26;45;70;1;61;96;0;20;75;27;57;7;92;69;51;0;39;40;44;28;0;0;0;18;90;97;82;32;72;65;36;38;59;6;37;0;89;5;100;0;0;88;41;71;25;93;8;0;35;15;19;63;68;56;98;0;33;10;74;94;0;0;0;0;66;60;46;54;9;16;0;23;86;13;76;49;34;22;11;79;64;77;87;0;31;50;52;3;24;55;0,N/A
C206.txt,100,75,40,1,600,0,2893,3443,421,2200,8957,0;93;0;2;6;0;5;92;69;35;38;37;3;86;57;0;84;88;17;85;13;79;41;8;73;0;0;75;63;99;27;97;33;32;94;56;54;55;89;83;0;59;14;16;26;50;25;9;11;81;80;77;87;96;90;0;74;62;30;100;20;66;65;31;39;95;7;91;4;28;0;67;1;61;49;98;0;72;29;64;68;53;36;34;18;19;0;58;60;40;45;70;71;51;47;78;0;0;24;0;82;46;44;52;43;21;10;0;22;0;0;23;76;12;15;42;48;0;0;0;0;0,N/A
C207.txt,100,75,40,1,600,0,2681,3512,8,2000,8201,0;24;0;63;0;5;62;66;68;0;0;59;89;82;16;46;52;51;42;48;10;81;0;20;27;75;64;99;97;92;94;55;38;7;4;35;36;0;0;84;50;45;26;71;21;12;78;43;87;96;0;0;29;6;1;32;72;74;49;95;98;34;3;0;67;33;100;93;37;58;91;0;14;19;18;79;0;83;86;88;85;76;70;73;41;15;25;90;77;0;0;44;60;13;47;0;23;8;17;9;80;11;0;0;22;61;30;2;31;65;69;54;39;28;56;57;53;40;0;0;0;0,N/A
C208.txt,100,75,40,1,600,0,736,3594,23,2500,6853,0;0;2;1;92;69;0;0;27;20;24;97;64;94;65;66;38;56;28;26;0;88;83;14;17;15;13;9;25;0;16;12;45;40;0;30;0;59;84;51;71;73;70;11;10;80;87;0;62;0;0;72;29;32;35;54;36;58;53;0;57;19;46;47;78;79;0;18;82;50;85;76;42;52;77;81;41;21;8;0;5;0;23;86;44;43;90;96;48;0;63;93;6;99;49;98;55;39;37;95;91;89;0;74;0;75;67;22;61;33;31;100;7;68;4;3;60;34;0;0;0;0,N/A
