File,Iterations,TabuSize,Operator,MaxTime,BestCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GTR,GrandTotal,ExecutionTime
RC101.txt,100,80,1,600,0,1489,1957,1600,3000,0;0;0;0;65;52;83;64;51;85;84;62;67;93;96;0;92;95;63;76;18;21;48;49;20;24;74;13;0;72;44;40;41;81;68;0;90;66;56;91;94;80;0;61;42;39;38;36;35;37;43;54;0;53;55;100;70;0;12;14;47;16;15;9;78;73;60;0;2;45;8;6;46;4;3;0;25;77;0;10;17;0;5;7;88;0;1;0;98;69;82;99;86;57;0;59;75;97;87;0;33;30;31;29;28;26;32;34;0;11;79;0;71;27;50;0;58;0;23;19;22;89;0,8046,N/A
RC102.txt,100,80,1,600,0,999,1934,1659,3000,0;0;0;0;0;65;82;98;53;73;12;10;13;59;52;83;0;91;92;94;67;71;96;61;68;90;0;95;62;50;30;32;31;34;93;0;66;56;85;80;0;72;39;36;40;38;37;35;43;70;0;81;54;55;100;0;2;45;1;3;5;8;46;6;7;60;0;42;44;41;0;17;0;24;48;21;25;77;58;0;14;47;16;15;9;86;22;49;20;0;4;0;63;33;28;29;27;26;0;69;64;51;84;0;88;11;99;57;0;75;87;97;0;79;78;0;74;0;19;23;18;76;89;0,7592,N/A
RC103.txt,100,80,1,600,0,531,1913,1544,3000,0;0;0;90;82;98;53;88;60;78;79;73;14;12;10;0;65;83;57;52;99;87;86;66;95;91;80;0;81;54;96;67;94;71;93;61;0;56;51;85;63;50;0;92;62;72;41;38;37;35;43;0;24;20;19;21;25;0;2;46;45;3;5;8;6;7;55;0;59;75;97;13;16;0;68;100;70;0;4;1;0;42;39;36;40;44;0;17;47;0;69;64;22;49;0;89;76;84;0;34;31;29;27;26;28;32;0;18;23;48;0;33;30;0;74;58;77;0;15;11;9;0,6988,N/A
RC104.txt,100,80,1,600,0,254,1570,1757,2400,0;0;0;0;0;90;65;66;83;64;56;84;51;63;85;95;91;80;0;92;94;62;67;93;71;72;39;42;61;68;0;82;98;88;53;55;81;54;96;0;60;78;73;100;0;70;2;6;7;79;8;46;4;45;5;3;1;0;52;74;86;57;0;10;12;15;11;9;87;59;13;16;17;47;0;41;44;38;37;35;36;40;0;14;0;50;34;31;0;24;22;20;49;19;23;21;48;18;25;77;0;43;0;33;30;29;27;26;28;32;0;0;89;76;0;69;99;97;75;58;0,5981,N/A
RC105.txt,100,80,1,600,0,1631,1764,1855,2500,0;0;0;0;0;0;65;52;82;98;90;91;96;72;41;37;35;70;0;92;95;94;71;67;62;50;85;51;80;0;83;64;22;20;49;21;48;25;24;0;66;56;84;93;0;2;45;5;8;6;79;7;46;4;3;1;60;0;81;54;68;55;100;0;88;12;14;16;47;73;78;53;0;42;39;44;40;43;0;10;17;0;74;58;75;77;0;69;99;57;86;87;59;97;13;0;34;31;32;0;63;33;30;29;27;28;26;0;61;36;38;0;19;23;18;76;89;0;15;11;9;0,7750,N/A
RC106.txt,100,80,1,600,0,781,1957,1653,3000,0;0;0;65;82;99;52;57;22;20;49;21;48;89;85;0;92;95;62;67;94;54;81;90;66;91;80;0;83;64;51;63;84;56;0;53;55;68;70;100;0;69;98;88;2;45;46;8;6;7;73;60;0;96;93;50;32;0;71;72;41;38;36;40;37;35;43;0;42;44;3;1;0;10;13;17;0;24;25;77;58;0;12;14;47;16;15;11;9;0;4;0;39;61;0;5;79;78;0;87;59;75;97;86;0;33;28;30;34;0;23;19;18;76;0;74;0;31;29;27;26;0,7391,N/A
RC107.txt,100,80,1,600,0,444,1660,1547,2700,0;0;0;69;98;53;88;60;55;100;93;0;65;82;99;52;86;74;77;25;20;84;62;0;92;95;63;85;50;56;91;0;80;96;54;70;68;0;83;64;22;49;19;21;18;48;23;24;66;0;90;14;17;0;72;41;39;38;40;36;35;37;43;0;67;71;94;0;45;5;4;46;3;1;0;10;15;13;0;2;6;8;7;79;73;78;0;42;0;11;9;16;47;12;0;44;61;81;0;59;58;75;97;87;57;0;76;89;51;0;33;30;31;29;28;26;27;32;34;0;0;0,6351,N/A
RC108.txt,100,80,1,600,0,547,1650,1670,2500,0;0;0;0;0;69;98;88;53;82;66;56;93;0;90;65;83;64;84;85;63;62;95;92;91;68;100;0;99;52;57;86;74;24;49;22;20;0;80;94;96;54;72;0;2;45;5;1;3;46;79;73;78;60;0;55;6;4;70;0;71;67;51;19;21;23;25;77;58;0;12;14;47;17;16;15;13;0;50;32;33;0;41;39;37;35;36;0;11;9;87;59;97;75;0;10;0;61;42;44;38;40;43;81;0;76;89;18;48;0;31;30;28;26;27;29;34;0;7;8;0,6367,N/A
