File,Iterations,TabuSize,Operator,MaxTime,BestCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GTR,GrandTotal,ExecutionTime
C201.txt,100,80,1,600,0,4734,2449,1006,1600,0;0;0;0;0;0;0;0;0;93;2;99;66;65;54;53;34;28;26;40;0;20;22;24;27;30;29;6;32;33;31;35;49;95;4;89;91;88;84;0;67;74;61;64;68;7;39;58;59;0;60;57;44;46;12;70;73;43;42;10;8;21;87;90;0;5;75;62;72;69;100;97;92;94;98;37;38;36;55;56;0;3;0;86;83;82;85;76;51;52;47;25;9;11;78;77;96;0;63;1;0;18;16;71;13;17;48;0;23;19;14;45;15;50;80;79;81;41;0;0;0;0,9789,N/A
C202.txt,100,80,1,600,0,2000,2980,1490,1500,0;0;0;0;0;0;0;0;0;0;0;0;0;52;1;99;33;53;39;28;60;57;14;5;80;79;8;0;67;62;24;34;32;6;66;69;68;2;55;54;59;56;58;88;0;96;85;94;92;35;37;36;26;0;84;19;82;76;73;17;25;9;11;41;78;77;87;90;0;22;63;74;72;91;100;97;12;75;49;50;4;89;31;0;86;40;44;48;51;71;70;43;42;10;95;21;0;20;98;27;30;29;64;83;3;65;38;0;93;7;61;0;23;18;16;46;45;15;13;47;81;0,7970,N/A
C203.txt,100,80,1,600,0,1215,2861,0,2200,0;0;14;52;44;45;76;13;25;9;11;10;8;78;87;0;51;57;74;91;21;66;61;68;47;5;98;53;56;60;0;50;30;0;0;88;90;0;0;72;26;27;99;7;0;23;84;18;16;15;17;70;71;96;0;22;62;86;81;100;92;69;35;32;38;39;36;37;34;29;0;20;12;28;33;65;55;46;0;0;2;1;95;94;0;58;40;73;85;48;3;80;79;42;41;77;0;93;24;31;89;82;83;63;59;54;49;43;4;0;0;75;0;0;0;67;19;97;64;6;0;0,6276,N/A
C204.txt,100,80,1,600,0,560,2519,6,1800,0;0;0;0;0;0;0;0;0;0;0;80;94;3;75;9;79;87;0;7;24;27;97;99;100;88;86;17;32;29;4;52;84;0;30;47;51;45;42;43;41;65;0;48;96;85;93;14;15;18;13;25;11;90;77;8;21;0;67;64;31;91;82;95;92;71;46;55;57;68;61;72;66;0;89;49;44;60;50;0;81;62;0;20;22;26;28;34;36;37;6;0;10;19;12;1;2;0;23;39;35;78;76;73;70;83;0;40;59;74;98;16;5;69;63;54;38;33;53;58;56;0,4885,N/A
C205.txt,100,80,1,600,0,1360,2533,664,1500,0;0;0;0;0;0;0;0;0;0;0;93;2;99;66;65;49;4;89;91;60;0;20;22;24;27;29;6;32;33;35;69;95;38;39;36;34;28;26;0;67;74;61;64;68;37;54;58;59;0;86;83;82;85;76;51;50;52;47;42;41;81;48;8;90;0;63;62;30;72;100;31;98;55;3;0;23;18;19;16;14;12;13;25;43;79;11;10;21;96;87;0;5;0;75;1;97;92;94;7;53;56;0;57;44;45;73;9;78;77;0;88;84;40;46;15;17;71;70;80;0;0,6057,N/A
C206.txt,100,80,1,600,0,579,2334,92,2200,0;0;0;0;0;0;0;0;0;84;60;57;40;71;70;73;79;41;43;42;48;8;77;96;0;24;67;61;69;33;99;100;97;95;7;3;4;89;53;56;58;0;5;30;29;66;65;49;54;91;0;86;59;46;45;51;50;52;47;25;80;81;78;87;21;0;93;75;72;6;0;83;18;19;16;14;12;15;17;13;9;11;10;90;0;22;0;63;62;1;68;31;38;39;36;0;23;0;26;88;82;85;76;0;20;0;44;0;2;27;74;64;32;92;94;98;55;35;37;34;28;0,5205,N/A
C207.txt,100,80,1,600,0,537,2591,119,1600,0;0;0;0;0;0;0;0;0;0;0;56;45;76;70;47;42;48;0;27;74;33;32;66;31;35;39;95;98;54;53;58;60;40;0;22;67;64;69;94;28;4;88;0;86;15;18;26;85;71;80;12;13;25;9;11;10;8;0;62;93;30;20;0;59;44;46;50;52;21;14;79;73;81;78;77;96;87;90;0;24;72;75;1;99;100;97;65;55;49;7;34;37;36;23;0;63;29;61;68;38;3;89;91;0;5;2;6;92;0;84;83;82;57;19;16;17;51;41;43;0;0,4847,N/A
C208.txt,100,80,1,600,0,526,2523,980,1800,0;0;0;0;0;0;0;0;0;0;75;72;66;54;55;3;7;4;88;82;44;80;81;0;93;1;5;0;67;61;64;95;31;38;36;28;0;34;12;46;50;17;25;71;73;79;77;87;90;8;0;24;30;74;69;0;58;60;40;83;14;45;42;41;43;21;9;11;10;0;62;2;100;29;6;32;33;35;37;39;49;98;89;84;86;0;63;0;26;23;51;52;47;48;0;91;16;19;18;85;76;70;0;20;22;99;27;97;92;94;68;65;53;56;0;59;57;15;13;78;96;0,5829,N/A
