File,Iterations,TabuSize,Operator,MaxTime,BestCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,ExecutionTime
R101.txt,100,20,SwapMove,600,0,1436,2015,844,3800,8095,600832
R101.txt,100,20,InsertMove,600,0,1702,1859,1243,3500,8304,600937
R101.txt,100,20,ReverseMove,600,0,2047,2184,1421,3600,9252,600017
R101.txt,100,20,TwoOptMove,600,0,2161,2194,1497,3500,9352,600357
R101.txt,100,40,SwapMove,600,0,1420,1990,854,3800,8064,600440
R101.txt,100,40,InsertMove,600,0,1821,1631,1325,3000,7777,600482
R101.txt,100,40,ReverseMove,600,0,2059,2180,1413,3600,9252,600669
R101.txt,100,40,TwoOptMove,600,0,2161,2194,1497,3500,9352,601218
R101.txt,100,80,SwapMove,600,0,1420,1990,854,3800,8064,601413
R101.txt,100,80,InsertMove,600,0,1821,1631,1325,3000,7777,601039
R101.txt,100,80,ReverseMove,600,0,2161,2194,1497,3500,9352,601094
R101.txt,100,80,TwoOptMove,600,0,2161,2194,1497,3500,9352,600025
