File,Iterations,BeesNumber,Limit,Operator,MaxTime,TotalCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,ExecutionTime
C201.txt,100,25,20,SwapMove,600,0,22677,3715,2935,2200,31527,600616
C201.txt,100,25,20,InsertMove,600,0,19609,3861,810,2100,26380,600997
C201.txt,100,25,20,ReverseMove,600,0,50684,4328,51,3100,58163,600594
C201.txt,100,25,20,TwoOptMove,600,0,61210,4379,1192,3100,69881,600685
C201.txt,100,25,40,SwapMove,600,0,16374,4390,765,2400,23929,600689
C201.txt,100,25,40,InsertMove,600,0,14892,3980,624,1900,21396,600620
C201.txt,100,25,40,ReverseMove,600,0,30888,4176,802,2700,38566,600999
C201.txt,100,25,40,TwoOptMove,600,0,54789,3954,947,2900,62590,600706
C201.txt,100,50,20,SwapMove,600,0,18140,3738,1713,3000,26591,601212
C201.txt,100,50,20,InsertMove,600,0,14860,3746,27,2200,20833,601369
C201.txt,100,50,20,ReverseMove,600,0,30534,4298,2795,2500,40127,601157
C201.txt,100,50,20,TwoOptMove,600,0,57128,4308,108,3100,64644,601967
C201.txt,100,50,40,SwapMove,600,0,13390,4237,1944,2100,21671,601275
C201.txt,100,50,40,InsertMove,600,0,13311,3888,388,2700,20287,601252
C201.txt,100,50,40,ReverseMove,600,0,23515,3828,979,3200,31522,601062
C201.txt,100,50,40,TwoOptMove,600,0,51576,4102,1160,2900,59738,601044
C201.txt,100,75,20,SwapMove,600,0,17798,3932,1297,2600,25627,601550
C201.txt,100,75,20,InsertMove,600,0,14856,3467,1992,2500,22815,601878
C201.txt,100,75,20,ReverseMove,600,0,31591,4121,836,2900,39448,601602
C201.txt,100,75,20,TwoOptMove,600,0,54153,4408,767,3000,62328,601549
C201.txt,100,75,40,SwapMove,600,0,13633,3844,1464,2600,21541,601544
C201.txt,100,75,40,InsertMove,600,0,13792,3936,144,2200,20072,601910
C201.txt,100,75,40,ReverseMove,600,0,26554,4043,1344,3100,35041,601608
C201.txt,100,75,40,TwoOptMove,600,0,46710,4387,87,3100,54284,601562
