File,Iterations,BeesNumber,Limit,Operator,MaxTime,TotalCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,GTR,ExecutionTime
C201.txt,100,75,40,1,600,0,11375,3571,132,2300,17378,0;74;0;93;24;29;100;33;31;0;18;40;73;84;50;47;80;0;88;16;86;12;70;52;43;21;10;42;96;87;0;0;0;67;63;72;30;32;66;69;98;94;95;7;4;34;59;53;0;26;44;51;76;71;85;9;25;11;77;48;0;0;99;0;20;27;6;1;55;54;89;0;19;46;45;17;0;3;91;82;83;58;13;15;79;78;81;41;8;90;0;62;2;61;68;5;65;92;49;35;39;36;28;23;60;0;57;14;0;0;0;0;0;75;0;22;64;97;38;37;56;0,N/A
C202.txt,100,75,40,1,600,0,6554,3641,130,2400,12725,0;0;20;98;100;12;49;7;0;63;0;1;0;0;84;19;14;37;0;93;24;27;85;75;33;65;97;0;23;31;17;15;45;51;71;80;73;78;8;81;0;26;0;91;94;0;34;70;79;25;9;0;2;72;52;29;99;61;66;35;38;55;58;36;60;88;0;0;0;5;67;62;96;50;32;69;92;3;56;54;39;0;18;76;46;47;43;90;0;83;82;74;64;30;6;21;95;68;59;53;89;4;28;0;22;0;57;40;86;16;44;13;48;42;10;11;41;87;77;0;0;0,N/A
C203.txt,100,75,40,1,600,0,3200,3343,0,2000,8543,0;32;16;66;0;0;94;67;46;47;6;21;75;97;55;49;53;0;62;0;88;84;12;91;15;25;17;81;83;78;11;87;29;0;74;93;50;90;82;98;92;20;35;38;36;43;56;58;0;0;71;60;44;45;76;13;80;0;5;26;18;30;14;19;7;96;65;54;0;31;37;64;33;39;0;0;0;52;0;48;51;40;73;3;79;9;1;42;41;63;77;0;34;22;27;99;100;28;69;57;86;95;4;0;0;0;23;89;85;70;2;8;10;0;24;59;61;72;68;0;0;0,N/A
C204.txt,100,75,40,1,600,0,668,3287,104,2100,6159,0;27;5;0;0;56;52;49;16;100;69;71;81;0;43;74;20;21;0;0;10;28;86;70;73;30;13;25;0;0;26;36;14;24;57;41;66;90;46;55;50;53;98;0;37;29;47;15;34;61;78;8;11;9;77;91;87;0;18;6;80;99;95;92;94;3;12;38;4;42;0;48;65;59;68;7;0;0;72;51;39;31;35;32;17;22;1;89;83;54;40;58;84;0;0;23;19;33;76;60;64;45;79;88;93;0;85;75;2;97;82;96;0;0;63;44;0;0;67;62;0;0,N/A
C205.txt,100,75,40,1,600,0,1781,3635,0,2200,7616,0;82;7;73;43;47;87;77;0;78;34;33;14;61;0;22;17;18;6;69;71;3;84;0;96;72;56;91;15;48;79;9;93;0;5;74;0;32;23;44;76;36;21;25;11;68;0;0;0;50;51;54;41;1;95;98;42;20;27;45;53;58;0;31;24;52;10;29;38;4;0;63;0;40;97;28;26;85;13;89;66;8;94;16;0;0;67;60;83;37;100;90;55;57;49;65;46;70;81;0;0;62;80;99;0;86;88;2;59;64;75;92;12;19;0;0;35;39;30;0;0;0,N/A
C206.txt,100,75,40,1,600,0,2685,3477,194,2000,8356,0;99;0;0;2;66;22;6;67;68;54;95;39;7;28;36;83;0;75;61;32;94;0;19;60;40;70;71;0;82;76;50;0;23;44;45;15;14;12;13;42;81;79;87;41;21;8;0;62;0;0;93;74;72;35;55;49;0;84;57;46;73;80;96;0;0;86;88;18;16;51;52;47;43;78;48;9;77;90;0;0;1;5;29;27;30;31;92;37;89;38;53;56;58;26;0;85;59;17;25;10;11;0;63;24;100;97;64;20;33;65;69;98;91;3;4;34;0;0;0;0;0,N/A
C207.txt,100,75,40,1,600,0,3191,3349,0,1900,8440,0;24;6;22;38;36;28;55;89;0;0;93;2;63;20;27;61;66;98;54;3;56;34;88;0;72;67;100;92;0;0;86;84;19;9;16;17;51;0;0;75;1;29;0;60;46;83;79;71;76;73;52;48;43;42;87;96;0;0;74;31;64;99;97;94;33;39;95;7;53;57;40;0;12;70;21;80;81;41;90;0;44;82;85;45;0;0;23;59;58;50;18;25;10;47;0;32;5;62;30;69;68;65;35;49;26;91;4;37;0;15;13;8;14;11;77;78;0;0;0;0;0,N/A
C208.txt,100,75,40,1,600,0,1421,3264,392,1900,6977,0;0;29;0;5;0;67;30;32;33;4;53;56;59;83;0;0;28;84;85;15;13;45;70;11;48;21;41;0;0;93;20;72;74;24;31;49;68;55;65;34;98;91;36;46;0;40;60;51;18;12;50;43;80;73;79;42;96;8;0;23;26;19;14;82;25;47;81;71;87;77;78;90;0;0;0;63;99;35;69;7;89;86;57;0;88;76;0;0;2;6;64;97;100;95;75;39;37;54;58;38;3;0;22;1;61;62;66;27;94;92;0;16;44;52;17;9;10;0;0;0;0,N/A
