File,Iterations,BeesNumber,Limit,Operator,MaxTime,TotalCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,GTR,ExecutionTime
R201.txt,100,75,40,1,600,0,1497,3049,114,1700,6360,0;0;42;95;71;2;23;99;18;90;51;81;0;0;46;49;10;68;35;89;93;91;58;77;0;0;0;0;45;14;5;69;15;75;21;76;85;0;94;97;57;0;33;63;59;83;98;67;61;73;40;41;53;8;84;0;0;9;34;3;66;20;4;26;100;74;0;39;27;36;82;31;11;12;7;88;16;78;79;0;28;92;62;44;52;19;64;6;38;22;43;0;87;56;24;37;13;48;25;80;70;0;86;50;96;55;54;1;32;17;60;0;65;47;72;29;30;0;0,N/A
R202.txt,100,75,40,1,600,0,613,3000,4,1500,5117,0;14;95;98;64;94;99;44;73;78;53;0;0;82;12;47;75;67;76;8;87;0;91;45;92;62;11;5;69;31;51;40;22;0;0;0;10;90;50;97;37;26;96;74;25;24;21;80;58;0;7;33;48;2;15;29;16;18;30;81;9;79;0;3;1;43;32;52;17;89;0;0;42;72;83;28;23;39;59;88;19;61;49;6;0;0;65;63;36;27;71;38;86;41;0;57;66;20;68;54;60;13;77;70;0;0;0;84;46;56;34;35;55;4;100;85;93;0,N/A
R203.txt,100,75,40,1,600,0,351,2713,3,1500,4567,0;0;51;20;82;92;16;14;44;11;0;18;63;61;85;54;29;71;64;99;22;8;53;0;24;34;27;86;39;67;23;40;9;0;0;96;75;10;32;35;4;21;13;70;58;0;97;83;60;36;46;45;5;50;15;38;2;0;66;49;94;55;93;25;77;80;0;52;48;42;59;98;7;69;12;3;62;88;1;31;78;79;0;73;28;65;33;81;90;76;30;87;6;84;0;41;37;56;68;17;0;0;0;0;57;43;47;19;72;74;26;95;91;100;89;0;0;0;0,N/A
R204.txt,100,75,40,1,600,0,166,2150,0,1300,3616,0;0;51;81;1;71;35;0;36;49;48;7;90;33;30;20;29;15;99;6;98;8;0;0;50;63;42;44;11;38;9;79;0;41;26;12;94;59;37;95;96;5;18;40;75;73;24;77;14;91;93;0;0;28;10;46;82;61;85;43;31;69;76;23;67;56;22;87;0;0;0;0;84;17;45;47;64;88;70;83;13;2;57;52;0;0;27;19;16;92;62;0;89;60;86;78;32;66;65;34;80;0;0;53;21;72;68;3;55;39;74;4;54;25;58;100;97;0;0,N/A
R205.txt,100,75,40,1,600,0,393,2516,16,1500,4425,0;0;45;14;59;29;76;21;53;88;19;18;41;0;34;0;5;83;31;52;65;69;12;0;8;86;20;35;80;25;100;77;1;70;0;33;47;63;27;16;61;73;39;67;75;40;87;6;94;0;57;84;49;10;60;91;96;89;93;43;0;92;82;95;42;44;15;38;62;64;30;79;78;81;71;9;51;50;0;36;98;2;72;23;28;99;11;7;90;0;0;0;46;66;32;3;24;58;4;74;0;0;0;0;0;85;97;22;13;37;68;26;56;55;54;48;17;0,N/A
R206.txt,100,75,40,1,600,0,90,2470,10,1600,4170,0;49;43;74;56;24;55;4;54;80;77;0;0;26;3;65;29;0;39;75;63;48;19;62;11;69;84;86;6;0;0;45;47;91;14;2;28;73;41;44;99;18;53;0;50;83;92;42;95;36;64;76;88;90;51;52;16;87;0;0;46;8;94;68;17;96;58;0;72;12;33;1;21;82;5;61;27;40;79;71;9;0;0;0;0;31;7;98;23;67;15;78;30;38;0;81;10;32;20;60;25;0;57;22;97;59;37;13;35;34;66;70;89;100;93;85;0;0,N/A
R207.txt,100,75,40,1,600,0,52,2064,0,1500,3616,0;42;37;14;43;75;72;67;0;0;21;27;2;81;51;33;30;48;52;99;15;40;6;84;5;53;0;46;36;47;19;62;64;88;1;20;9;0;0;0;97;87;10;49;32;63;13;58;93;98;100;74;25;0;91;82;89;69;23;39;76;90;11;7;0;0;0;79;50;78;68;24;57;26;80;56;55;17;0;59;85;31;83;45;96;92;95;94;44;38;86;16;61;0;0;65;34;29;73;0;0;41;22;12;35;71;66;0;60;8;18;28;4;54;77;3;70;0;0,N/A
R208.txt,100,75,40,1,600,0,6,1797,0,1300,3103,0;0;36;49;64;62;11;32;69;30;70;84;8;7;28;0;95;92;91;96;73;72;15;5;85;44;14;38;43;42;0;54;12;29;3;31;19;47;88;0;9;66;51;24;80;26;55;4;0;0;0;60;48;82;45;46;83;93;21;23;67;56;40;94;99;18;89;0;0;0;52;63;90;10;65;34;81;68;0;0;0;0;0;27;98;1;20;35;50;59;37;58;13;97;2;0;16;86;6;71;78;39;33;79;76;53;0;87;41;57;74;17;61;100;75;22;25;77;0,N/A
R209.txt,100,75,40,1,600,0,185,2141,18,1700,4044,0;82;46;14;56;39;38;61;76;9;26;53;0;0;87;99;31;35;65;58;0;0;22;2;62;48;63;11;64;32;66;51;27;0;34;55;60;74;72;78;81;3;77;0;0;0;33;12;0;0;68;67;93;59;37;43;57;100;13;0;1;28;19;52;86;44;45;18;89;15;0;0;17;16;41;23;42;69;79;73;75;21;40;0;84;5;97;95;91;94;0;0;83;8;49;10;70;30;71;29;80;4;25;50;0;88;6;92;85;98;96;7;47;36;90;20;54;24;0,N/A
R210.txt,100,75,40,1,600,0,561,2500,42,1300,4403,0;15;29;19;63;90;50;78;81;1;99;0;14;12;28;64;48;45;44;86;72;40;57;79;0;0;0;21;82;7;98;42;67;22;23;94;87;0;89;6;97;49;37;91;85;95;13;93;17;77;80;25;0;0;31;47;27;92;65;71;69;51;46;16;5;18;10;32;0;3;66;20;54;55;35;34;24;4;68;0;52;75;59;61;62;88;76;39;41;73;53;0;0;0;0;0;36;83;33;30;11;8;38;9;0;60;84;43;2;26;56;74;70;96;100;58;0;0,N/A
R211.txt,100,75,40,1,600,0,28,2071,0,1600,3699,0;69;31;19;65;71;27;0;26;80;68;3;77;25;55;54;34;35;66;32;48;0;82;36;45;59;39;41;40;22;0;18;1;24;74;4;56;0;29;12;14;92;83;30;51;7;57;87;84;8;0;50;70;90;10;60;43;100;97;13;0;0;52;23;75;72;38;16;99;85;86;61;53;21;76;9;0;33;63;64;28;73;95;5;46;47;62;88;0;0;0;58;94;93;6;96;37;91;17;89;0;0;0;15;98;44;67;42;2;78;81;79;49;11;20;0;0;0,N/A
