File,Iterations,TabuSize,Operator,MaxTime,BestCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,GTR,ExecutionTime
C201.txt,100,80,1,600,0,7233,2788,713,2000,0;0;0;0;0;0;0;0;0;93;2;99;66;65;54;53;34;28;40;0;20;22;24;27;30;29;6;32;33;31;35;49;95;4;89;91;26;0;67;74;61;64;68;7;39;88;0;60;57;44;46;12;70;73;43;42;41;10;8;21;0;5;75;62;72;100;97;92;69;37;0;86;83;82;85;76;51;52;47;25;9;11;77;96;87;90;0;63;0;1;0;18;16;0;23;19;14;45;15;50;80;79;81;78;48;0;94;0;84;71;17;13;0;56;98;55;3;38;36;58;59;0,12734,N/A
C202.txt,100,80,1,600,0,2503,2791,1070,1800,0;0;0;0;0;0;0;0;0;0;0;93;34;6;33;38;49;55;58;60;57;48;45;31;43;0;20;2;27;30;29;26;12;1;7;83;39;4;89;0;63;3;98;69;65;54;0;23;18;19;16;14;15;17;21;25;42;11;10;8;87;90;0;86;44;72;73;79;78;77;0;84;91;96;50;51;71;47;80;81;41;0;59;24;37;61;64;66;0;67;5;99;92;35;0;75;62;74;95;100;97;32;68;94;36;53;56;88;0;28;40;52;46;76;70;13;9;0;22;82;85;0,8164,N/A
C203.txt,100,80,1,600,0,2228,3063,5,3000,0;94;44;76;15;9;80;79;78;11;10;8;77;87;0;20;29;28;1;7;75;0;0;43;54;2;92;68;63;4;88;0;84;40;61;48;18;17;70;81;42;41;0;96;62;85;73;64;66;0;0;23;24;0;67;83;74;30;86;6;69;65;49;55;60;53;56;58;46;0;91;0;26;47;57;13;25;0;50;51;31;37;19;16;14;12;0;0;5;0;59;0;3;95;97;98;0;27;71;100;33;21;39;0;89;0;22;34;99;82;35;38;36;0;93;0;90;72;52;32;45;0,8296,N/A
C204.txt,100,80,1,600,0,128,2295,0,2100,0;0;0;0;6;32;35;33;29;22;20;0;66;62;7;94;97;100;95;1;5;93;55;59;49;0;68;80;72;63;64;41;53;58;0;10;89;31;27;75;15;13;25;9;11;43;8;91;87;0;84;57;44;45;50;52;30;12;14;16;19;18;17;0;96;0;67;86;42;46;24;48;69;40;54;56;38;37;39;34;0;88;0;90;0;23;36;47;65;76;81;78;70;73;79;71;77;0;0;2;3;74;26;85;92;60;51;28;4;0;0;21;0;61;83;82;98;99;0;0;0;0,4523,N/A
C205.txt,100,80,1,600,0,1320,2963,392,1700,0;0;23;18;82;46;45;70;13;47;42;10;21;96;87;90;0;67;62;75;2;100;92;94;95;69;65;38;36;34;28;26;58;40;0;27;30;6;64;54;7;4;89;0;59;44;83;76;50;73;9;11;81;78;77;0;22;63;72;61;99;97;66;68;31;49;55;39;0;88;86;85;16;14;15;0;5;24;74;1;29;32;33;35;37;98;3;53;56;60;0;0;93;20;0;0;0;57;12;51;52;43;41;0;91;84;19;71;17;25;80;79;48;8;0;0;0;0;0;0;0;0,6375,N/A
C206.txt,100,80,1,600,0,609,2954,1590,1600,0;0;0;0;0;0;0;0;0;0;0;0;75;64;100;6;31;7;89;23;16;51;17;13;79;41;96;0;5;62;61;27;99;33;65;98;95;54;58;88;0;22;67;32;69;37;39;28;26;0;83;19;18;40;70;73;47;52;48;81;78;77;87;90;0;63;93;24;29;66;94;92;97;35;38;36;34;0;60;44;46;85;76;71;80;42;43;25;11;10;8;21;0;20;72;1;74;30;68;49;55;3;4;56;53;91;86;0;2;0;84;82;14;0;57;59;45;50;12;15;9;0,6753,N/A
C207.txt,100,80,1,600,0,575,2416,1146,1800,0;0;0;0;0;0;0;0;0;62;61;33;38;36;49;53;56;28;26;8;21;10;96;0;20;5;64;30;99;100;69;65;54;7;3;34;19;14;0;72;1;29;6;68;55;31;37;0;88;83;15;50;44;46;47;41;73;79;81;78;77;87;90;0;59;60;45;85;76;71;70;80;48;43;42;9;11;0;58;57;40;51;52;13;16;12;17;25;0;67;27;2;35;32;97;92;94;95;98;39;4;89;91;0;93;75;22;66;0;23;18;0;84;86;82;0;24;63;74;0;0;0,5937,N/A
C208.txt,100,80,1,600,0,676,2648,440,1900,0;0;0;0;0;0;0;0;0;0;74;100;6;31;54;53;56;34;60;51;0;93;67;72;64;0;22;1;69;66;7;35;28;23;0;19;88;86;82;77;46;43;17;81;80;79;78;87;21;0;57;16;12;25;10;8;48;0;40;44;45;85;76;71;70;73;50;52;47;42;41;96;90;0;62;5;99;29;33;68;98;38;39;55;49;91;84;83;0;20;24;32;61;65;3;4;89;0;63;2;75;30;97;94;92;95;37;36;58;0;18;26;0;27;0;59;14;15;13;9;11;0,5664,N/A
