File,Iterations,TabuSize,Operator,MaxTime,BestCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,GTR,ExecutionTime
RC201.txt,100,80,1,600,0,581,2306,54,1400,0;0;0;0;0;0;0;0;0;0;0;0;65;92;72;36;39;69;83;52;75;23;19;18;76;51;85;84;90;0;42;5;45;14;47;15;64;62;67;29;30;22;86;87;9;10;0;63;33;95;82;98;88;12;16;73;79;78;53;0;94;50;34;26;32;96;54;68;55;91;24;25;48;89;93;80;0;59;28;27;31;71;99;61;41;81;0;57;49;20;56;66;74;97;13;17;77;58;0;2;0;44;21;11;38;40;8;7;6;0;46;3;43;37;35;1;4;60;100;70;0,4341,N/A
RC202.txt,100,80,1,600,0,220,2643,114,1800,0;0;0;46;66;85;34;32;89;24;0;50;63;65;12;15;11;64;71;38;40;44;81;99;57;51;0;1;42;36;27;26;61;7;8;6;78;0;84;83;91;96;68;35;43;3;5;4;93;80;0;14;0;53;49;20;48;21;97;13;60;74;59;58;77;25;0;52;33;31;69;95;62;76;19;88;73;79;90;0;94;72;45;47;16;75;23;18;22;86;87;9;0;82;10;56;54;55;98;17;100;70;0;41;0;2;92;39;37;29;28;30;67;0;0;0;0;0;0;0;0,4777,N/A
RC203.txt,100,80,1,600,0,121,2181,132,1900,0;0;0;0;8;2;56;54;81;68;73;17;13;59;58;77;25;100;70;0;3;45;46;7;27;28;76;62;44;40;41;9;22;49;0;82;12;14;47;86;52;0;84;51;95;66;55;60;4;1;43;35;37;72;71;93;96;80;0;65;91;94;50;33;20;19;48;21;23;15;11;88;79;78;53;0;98;10;0;92;83;24;18;89;63;85;64;32;30;26;31;34;67;0;61;0;90;0;6;16;97;75;74;57;0;29;36;39;42;5;69;38;99;87;0;0;0;0;0;0;0;0,4334,N/A
RC204.txt,100,80,1,600,0,95,1738,66,1100,0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;34;31;29;27;26;28;33;89;23;21;19;49;24;64;65;90;0;96;93;50;32;37;35;36;40;38;15;99;95;67;71;81;68;0;61;42;43;39;30;72;44;2;8;79;78;53;0;84;56;66;10;60;6;46;13;59;74;86;58;77;25;48;18;20;22;0;80;91;57;75;97;16;47;14;11;69;51;76;63;85;0;88;82;98;41;70;55;4;45;73;17;12;100;0;7;1;5;3;54;94;62;83;52;87;9;0,2999,N/A
RC205.txt,100,80,1,600,0,717,2459,20,1700,0;0;0;0;0;0;0;0;0;65;82;98;12;14;47;52;85;76;18;21;19;22;53;0;72;92;95;63;33;28;31;29;62;94;71;44;40;81;96;50;84;91;0;83;59;75;69;61;88;73;99;87;9;0;90;57;97;10;60;55;68;4;3;35;54;93;80;0;2;45;5;42;39;0;41;37;43;46;1;17;13;74;48;24;25;77;58;100;70;0;36;0;7;27;64;51;67;30;34;0;49;20;56;66;0;26;32;89;0;15;38;16;11;23;86;78;79;8;6;0;0,4896,N/A
RC206.txt,100,80,1,600,0,112,1789,24,1600,0;0;0;0;0;0;0;0;0;0;0;92;65;83;95;62;63;76;64;86;52;99;53;88;90;0;72;36;39;42;2;45;5;61;44;40;38;71;67;31;29;30;85;51;84;0;14;47;82;69;98;12;11;15;16;73;79;7;8;6;0;66;56;50;32;26;34;96;54;35;37;93;91;80;0;59;0;81;0;94;41;43;3;1;4;46;60;55;100;70;68;0;33;27;28;23;21;19;18;75;87;0;57;22;20;49;74;58;97;13;17;0;9;78;10;24;77;25;48;89;0,3525,N/A
RC207.txt,100,80,1,600,0,56,1779,136,1500,0;0;0;0;0;69;65;83;23;64;95;67;62;51;85;63;76;19;18;84;92;80;0;72;36;39;42;44;38;99;52;9;16;73;79;78;12;87;86;90;81;0;11;15;47;14;88;98;82;71;41;61;70;100;55;68;0;66;56;50;32;26;27;34;93;96;54;91;0;5;45;2;0;94;40;35;37;43;1;46;4;60;0;59;0;33;28;31;29;30;21;75;53;7;6;8;3;0;10;17;13;97;74;58;77;25;48;24;0;0;57;22;20;49;89;0;0;0;0;0;0,3471,N/A
RC208.txt,100,80,1,600,0,9,1735,10,1200,0;0;0;0;0;0;0;0;0;0;0;0;0;65;83;82;98;2;42;44;39;38;72;81;0;64;28;63;76;19;75;59;9;11;14;78;73;79;7;6;8;3;4;68;0;69;0;55;60;10;99;57;24;22;49;20;50;34;26;32;56;91;80;0;95;12;47;16;15;88;61;52;86;87;23;18;89;48;25;0;96;94;67;93;54;37;35;43;70;100;17;13;97;58;77;74;0;21;71;36;40;41;92;84;85;51;66;90;0;62;33;30;29;31;27;53;46;45;5;1;0,2954,N/A
