File,Iterations,BeesNumber,Limit,Operator,MaxTime,TotalCost,TotalPenalty,DrivingCost,AfterHoursCost,CrewCost,GrandTotal,GTR,ExecutionTime
RC201.txt,100,75,40,1,600,0,1465,3671,252,2200,7588,0;0;59;0;0;49;20;96;37;54;35;43;4;60;0;45;83;62;27;30;61;79;7;8;46;73;55;32;26;0;92;72;47;23;98;88;0;0;5;33;38;69;19;75;87;0;6;78;74;66;13;24;25;0;63;39;36;71;82;15;21;18;22;64;84;86;0;65;0;34;56;0;94;3;1;50;89;48;77;58;93;70;100;80;0;12;31;11;16;29;41;40;81;0;0;0;90;97;10;17;68;91;0;14;28;44;52;51;85;67;57;0;0;42;95;2;76;99;9;53;0,N/A
RC202.txt,100,75,40,1,600,0,809,3446,173,1900,6328,0;0;39;65;62;47;19;18;51;0;92;94;63;72;28;27;67;64;86;61;81;41;0;37;42;59;15;69;11;16;53;8;0;84;20;49;10;55;54;68;60;17;89;0;0;0;0;0;46;32;0;0;43;56;0;83;5;7;26;31;76;23;99;22;57;0;75;48;29;30;38;44;40;90;6;12;97;74;0;14;2;45;36;71;96;50;52;0;9;78;35;66;24;70;93;80;0;0;95;82;21;34;33;85;98;73;88;79;87;0;91;3;4;1;100;13;58;25;77;0;0,N/A
RC203.txt,100,75,40,1,600,0,512,2894,109,1900,5415,0;0;0;33;0;0;36;71;92;89;20;23;19;64;0;73;51;62;44;99;88;53;1;0;0;96;0;22;49;48;56;13;17;12;2;0;78;85;34;21;25;74;77;83;94;93;100;80;0;18;57;52;14;3;43;67;75;87;59;9;0;42;39;26;29;31;28;7;46;8;5;79;6;10;0;45;60;81;72;69;82;11;15;16;97;76;63;84;0;50;86;4;55;68;90;58;70;0;0;0;0;0;91;98;47;65;24;27;32;30;95;54;41;38;40;35;37;0;0;61;66;0,N/A
RC204.txt,100,75,40,1,600,0,58,2531,31,1700,4320,0;91;24;89;51;66;80;36;44;39;38;53;0;90;85;48;82;14;11;23;20;67;71;0;54;0;94;95;50;96;61;4;46;55;98;22;49;77;57;58;25;0;0;83;18;19;21;73;41;37;70;17;9;99;84;0;2;5;42;30;31;29;26;28;63;0;10;52;12;7;45;3;1;62;56;64;76;93;0;86;75;97;69;16;47;78;87;79;8;6;0;0;34;33;32;27;72;68;0;0;0;0;0;81;88;60;65;13;59;74;100;0;92;35;40;43;15;0;0;0;0,N/A
RC205.txt,100,75,40,1,600,0,211,2981,0,2100,5292,0;0;0;68;0;10;97;92;40;27;28;84;87;0;88;98;60;12;17;73;78;47;11;0;24;20;49;26;23;79;45;5;46;0;0;94;95;71;14;16;75;69;57;83;67;0;43;81;66;4;70;0;52;0;1;64;62;50;32;29;76;53;7;0;93;42;39;41;91;59;13;58;25;19;0;9;86;55;31;63;18;48;77;0;34;0;22;21;89;74;82;90;80;100;0;0;0;65;96;61;30;33;51;36;35;38;44;37;8;2;0;0;72;54;56;85;15;99;6;3;0,N/A
RC206.txt,100,75,40,1,600,0,374,3389,178,2100,6041,0;42;72;64;75;98;88;6;8;7;79;0;65;45;83;69;51;71;11;86;49;22;0;5;47;62;31;0;78;3;34;93;80;13;74;58;77;0;0;92;2;21;23;38;36;61;44;0;50;84;32;26;89;70;0;0;14;29;67;30;76;19;0;0;28;82;0;0;0;90;10;97;60;0;99;87;9;20;66;24;48;25;0;33;52;95;59;15;12;73;53;0;41;40;37;43;35;54;96;91;0;94;81;68;55;100;4;17;0;63;39;27;18;85;57;16;56;46;1;0;0,N/A
RC207.txt,100,75,40,1,600,0,319,2935,522,1500,5276,0;0;0;33;75;61;53;12;88;90;87;11;8;4;1;60;0;69;83;72;67;82;2;45;98;100;6;73;7;79;81;0;64;62;95;44;41;22;19;57;59;86;58;77;99;0;0;56;84;97;68;0;5;14;15;47;38;42;40;36;21;18;76;34;27;26;50;0;0;39;43;35;3;55;91;89;32;0;63;28;30;31;29;70;71;17;74;49;54;0;0;0;0;65;23;78;92;52;9;16;51;85;0;0;80;94;10;20;25;48;24;66;0;0;46;13;37;96;93;0;0,N/A
RC208.txt,100,75,40,1,600,0,51,2662,5,2100,4818,0;0;11;15;67;31;81;0;63;98;76;51;95;82;12;9;99;90;0;75;47;14;33;28;27;29;89;18;0;94;56;0;0;45;16;73;85;38;39;46;8;7;6;3;0;80;96;40;37;35;43;36;54;0;70;1;4;100;55;68;66;13;60;0;0;59;0;52;17;53;10;58;97;74;77;25;24;0;65;83;30;61;5;79;78;88;0;0;2;69;42;44;71;41;0;22;48;49;20;93;32;91;0;0;0;92;64;21;23;19;62;72;57;87;86;84;26;34;50;0;0,N/A
